time_idx,station_id,datetime,target,rainfall,t2m,t2m_max,t2m_min,month,latitude,longitude,wellDepth,wellAquiferType_encoded,State_encoded,District_encoded
0,CGWHYD0426,14-07-2023,-11.305,0.02,30.62,36.39,24.98,7,14.9083,78.0083,31,0,0,0
1,CGWHYD0426,15-07-2023,-11.2775,4.11,30.44,36.97,25.01,7,14.9083,78.0083,31,0,0,0
2,CGWHYD0426,16-07-2023,-11.2675,0.09,29.04,34.03,24.77,7,14.9083,78.0083,31,0,0,0
3,CGWHYD0426,17-07-2023,-11.2775,2.32,30.1,36.5,24.52,7,14.9083,78.0083,31,0,0,0
4,CGWHYD0426,18-07-2023,-11.28,0.95,29.03,34.79,24.82,7,14.9083,78.0083,31,0,0,0
5,CGWHYD0426,19-07-2023,-11.2825,4.76,27.6,31.21,24.79,7,14.9083,78.0083,31,0,0,0
6,CGWHYD0426,20-07-2023,-11.265,4.72,28.94,35.08,24.51,7,14.9083,78.0083,31,0,0,0
0,2.128E+14,25-08-2006,7.1,1.22,23.16,25.68,21.99,8,21.4667,78.5333,12.5,1,0,0
1,2.128E+14,05-11-2006,7.1,0.1,22.84,27.44,18.42,11,21.4667,78.5333,12.5,1,0,0
2,2.128E+14,05-01-2007,6.2,0,18.6,28.21,10.74,1,21.4667,78.5333,12.5,1,0,0
3,2.128E+14,15-05-2007,10.02,0.01,35.83,43.43,28.01,5,21.4667,78.5333,12.5,1,0,0
0,1.9333E+14,05-11-2015,22.15,0,25.48,33.66,18.36,11,19.5583,74.9211,23,1,0,0
1,1.9333E+14,05-01-2016,21.6,0,21.45,31.08,12.68,1,19.5583,74.9211,23,1,0,0
2,1.9333E+14,15-05-2016,19,0,34.3,42.42,25.72,5,19.5583,74.9211,23,1,0,0
0,1.44333E+14,20-05-2022,1.91,0.51,26.41,29.98,23.13,5,14.7258,77.9406,200,1,0,0
0,1.723E+14,05-01-2004,8.7,0.02,20.2,28.16,14.82,1,17.3833,78.4333,70.1,1,0,0
1,1.723E+14,15-05-2004,17.06,11.53,27.81,31.78,24.77,5,17.3833,78.4333,70.1,1,0,0
0,1.85442E+14,05-01-2013,5.65,0,22.99,34.26,14.16,1,18.9117,76.7781,9,1,0,0
